id,originalId,ExpCondition,date,time,attempts,mobile,referer,ip,device,os,browser,inviterId,barChart,polMap,svr,radar,suppTimer1,suppTimer2,suppTimer3,sex,age,education,province,interestInPolitics,voteIntention,voteReason,prevVote,forecastVote_m18to35noUni,forecastVote_m18to35Uni,forecastVote_f18to35noUni,forecastVote_f18to35Uni,forecastVote_m36to50noUni,forecastVote_m36to50Uni,forecastVote_f36to50noUni,forecastVote_f36to50Uni,forecastVote_m51to65noUni,forecastVote_m51to65Uni,forecastVote_f51to65noUni,forecastVote_f51to65Uni,forecastVote_mOver65noUni,forecastVote_mOver65Uni,forecastVote_fOver65noUni,forecastVote_fOver65Uni,usefulResult,placeTimer1,placeTimer2,placeTimer3,placeTimer4,LRplace_Self,placeLR_VVD,placeLR_PvdA,placeLR_PVV,placeLR_SP,placeLR_CDA,placeLR_D66,placeLR_GL,ProgConsplace_Self,placeProgCons_VVD,placeProgCons_PvdA,placeProgCons_PVV,placeProgCons_SP,placeProgCons_CDA,placeProgCons_D66,placeProgCons_GL,placeLeader_Rutte,placeLeader_Asscher,placeLeader_Roemer,placeLeader_Buma,placeLeader_Wilders,placeLeader_Pechtold,placeLeader_Klaver,PTV_VVD,PTV_PvdA,PTV_PVV,PTV_SP,PTV_CDA,PTV_D66,PTV_GL,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,totalTime
12,58b6ddde00bc60fb2fd1ecd2,1,2017-03-01,14:42:38,2,0,-999,13cf5c0867afcba3b05042a2cc057078,Other 0.0.0,Linux 0.0.0,Chrome 47.0.2526,-999,-999,-999,-999,-999,2.1,99.2,62.7,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,1.7,1.3,3.5,17.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.7,.9,.8,.7,.8,.7,.8,.7,.8,.7,.8,.7,.7,.8,.7,.8,.7,.7,.7,.8,.8,.7,.7,.8,1.3,23.3
13,58b6e3b100bc60fb2fd1ecd4,1,2017-03-01,15:07:29,3,0,http://www.stem-consult.nl/,356232914814e9ea15f901f98634235a,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,4,1.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,1.1,.7,.9,.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.4,.6,.7,.7,.6,.7,.7,.7,.6,.7,.6,.6,.7,.6,.7,.7,.7,.7,.7,.7,.6,.6,.6,.6,.6,17.1
14,58b6e4b000bc60fb2fd1ecd6,1,2017-03-01,15:11:44,4,0,http://www.stem-consult.nl/,b88d1d48d29d269bff977db8431f09e0,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,1,2.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.9,.6,.6,1.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1.2,.7,.7,.8,.8,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,1,.7,.8,.7,.8,18.7
15,58b6e5bf00bc60fb2fd1ecd8,1,2017-03-01,15:16:15,1,0,http://www.stem-consult.nl/,356232914814e9ea15f901f98634235a,Other 0.0.0,Windows 7 0.0.0,Firefox 51.0.0,-999,-999,-999,-999,-999,2.4,5.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.7,.8,2.1,1.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,3.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,1.3,.7,.7,.7,.7,.7,.7,.7,.7,.7,21.1
16,58b6e7e900bc60fb2fd1ecda,1,2017-03-01,15:25:29,1,0,http://www.stem-consult.nl/,24b28faa1300b17337162750546fed70,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,1.1,2.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,1,1.1,3.4,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,2,2,1,4,4,4,4,5,5,1,1,1,1,5,1,5,3,3,1,1,4,4,5,33.4,1.1,1.3,.8,.8,1.2,.8,.9,.8,2.7,.8,1,.8,.8,.8,1.4,1.3,2,.9,.9,1.2,1.3,.9,.7,.9,59.5
17,58b6e84100bc60fb2fd1ecdc,1,2017-03-01,15:26:57,2,0,http://www.stem-consult.nl/,3126fa62be42b73b3b7923a8ecee64f6,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,1.4,1.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.2,.7,.8,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,2,2,1,4,4,4,4,5,5,1,1,1,1,5,1,5,3,3,1,1,4,4,5,10.6,.7,.8,.7,.9,.9,.8,.8,.8,.9,.8,1,.8,.8,.8,1.1,1.2,1,1,.8,.7,.7,.9,.7,1,31.2
18,58b6ec6a00bc60fb2fd1ecde,1,2017-03-01,15:44:42,3,0,http://www.stem-consult.nl/,0beee0f551e867fe40e8fccdb2cc3bea,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,1.1,29.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,-1,1.1,.6,.6,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,.6,.6,.6,.7,.7,.6,.6,.6,.7,.6,.6,.7,.6,.6,.6,.7,.6,.6,.7,.7,.7,.7,.7,.7,16.6
19,58b6ed5000bc60fb2fd1ece0,1,2017-03-01,15:48:32,4,0,http://www.stem-consult.nl/,e28d48c21f46a8cedf4c8ab1484d807f,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,1.6,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.1,.7,.7,.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,5,2,2,5,4,4,4,4,1,1,1,1,1,5,1,5,1,3,3,5,5,4,4,1,2.2,1.7,1.3,.7,.9,1.5,.7,.7,.7,.8,.8,.8,.8,.8,1,1.4,1,.8,.8,.7,.8,.7,.8,.7,.8,23.9
20,58b702f700bc60fb2fd1ece5,1,2017-03-01,17:20:55,1,0,-999,f3874f6fcd00b154a01a0085581ba25f,Other 0.0.0,Linux 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,2.4,2.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1.2,1.2,1.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,4,5,2,4,5,1,3,3,1,3,2,4,2,2,4,5,5,1,2,5,2,5,3,7.1,1,36.6,2.9,3.3,2.2,2,1.6,2.1,.9,2.4,1.5,1.3,1.6,1.8,.9,2,1.4,1,2.2,1.1,2.9,1.8,1,1,83.6
21,58b7062e00bc60fb2fd1ece8,1,2017-03-01,17:34:38,1,0,http://www.stem-consult.nl/,f113e0c1e419cc39658280a31a3b450e,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,1.1,39.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,-1,-1,-1,1.4,1.6,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.2,.7,.7,.7,.7,.7,.7,.7,.7,1.2,.8,.7,.7,.7,.6,.7,.8,.7,.7,.7,.7,.7,.7,.7,.7,19.6
22,58b709c800bc60fb2fd1eceb,1,2017-03-01,17:50:00,2,0,http://www.stem-consult.nl/,24b28faa1300b17337162750546fed70,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,1.9,1.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.9,1.1,.7,.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,.6,.6,.6,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,.6,.6,.7,.7,.6,.6,.6,.6,17
23,58b70a3c00bc60fb2fd1eced,1,2017-03-01,17:51:56,3,0,http://www.stem-consult.nl/,f113e0c1e419cc39658280a31a3b450e,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,1.4,1.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5,.6,.6,.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.7,.6,.6,.9,.8,.7,.7,.6,.7,.7,.7,.7,.7,.7,.8,.7,.7,.7,.7,.7,.7,.7,.7,.7,.7,18.6
24,58b70d4500bc60fb2fd1ecf1,1,2017-03-01,18:04:53,4,0,http://www.stem-consult.nl/,686995f9e316b1906f96cd724c39bb25,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,1.3,1.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.2,.6,.6,.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.2,.7,.6,.6,.6,.6,.6,1.1,.7,.6,.7,.6,.7,.6,.6,.7,.7,.7,.6,.6,.7,.7,.6,.6,.7,17.1
25,58b70ebc026b53c1405e99e0,1,2017-03-01,18:11:08,5,0,http://www.stem-consult.nl/,0ce7d95672762e440d754faf1ce4cdb9,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,.9,27.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.8,.6,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,2,2,3,3,4,4,5,5,1,1,2,2,3,3,4,4,5,5,1,1,2,2,3,1.4,.6,2,.7,.7,.7,.7,.7,.7,.7,.7,.6,.7,.6,.6,.6,.6,.7,.6,.6,.7,.6,.7,.7,1.3,19.2
26,58b71196026b53c1405e99e2,1,2017-03-01,18:23:18,3,0,-999,315cd8838e66efb24ed56396a77f79e8,Other 0.0.0,Linux 0.0.0,Chrome 47.0.2526,-999,-999,-999,-999,-999,2.2,2.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,1.8,1.6,1.4,2.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.3,.9,.7,.7,.6,1,1.2,.8,.7,.7,.7,.6,.7,.7,.7,.7,.7,.7,.7,1.1,.9,.8,.7,.7,.7,20.7
27,58b712fb026b53c1405e99e5,1,2017-03-01,18:29:15,1,0,http://www.stem-consult.nl/,6eea1c5912a46bf5e72863148e196691,Other 0.0.0,Windows 7 0.0.0,Chrome 56.0.2924,-999,-999,-999,-999,-999,.9,1.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,-1,.9,.6,.7,.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,.6,.7,.6,.6,.6,.7,.7,.7,.7,.7,.7,.6,.7,.7,.6,.7,.7,.6,.6,.6,.6,.7,1.3,.8,17.7
28,58b72b59026b53c1405e99e7,1,2017-03-01,20:13:13,1,1,http://www.stem-consult.nl/,686995f9e316b1906f96cd724c39bb25,EVA-L09 0.0.0,Android 7.0.0,Chrome Mobile 56.0.2924,-999,1,-999,-999,-999,36.3,38.9,-999,2,54,7,6,2,12,2,11,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,119.7,52.1,28.7,24.6,8,8,4,9,1,7,6,3,8,8,5,7,3,7,6,1,9,4,0,7,1,8,1,9,4,1,1,7,10,1,2,5,2,5,4,5,4,3,2,5,1,2,2,4,4,4,1,5,5,2,4,5,3,3,2,8.5,4.1,4.1,4.1,6,3.5,4.1,6.5,4.3,4.4,2.5,3.3,5.1,3.5,4.2,5.4,4.1,5.6,3.4,2.4,5.5,2.7,3.3,4.8,5.3,110.7
29,58b72bac026b53c1405e99e9,1,2017-03-01,20:14:36,1,1,http://www.stem-consult.nl/,686995f9e316b1906f96cd724c39bb25,HTC One $2 $3 $4 M8s.0.0,Android 5.0.2,Chrome Mobile 55.0.2883,-999,1,1,0,1,52.2,62.5,120,1,53,6,6,3,4,5,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-999,153.9,58.6,42.1,39.4,6,10,3,5,1,6,6,3,7,7,4,10,4,6,3,1,9,5,0,5,0,10,6,10,1,0,0,8,10,6,2,4,3,4,2,4,5,2,5,5,1,4,2,2,4,4,-999,5,5,2,2,4,4,2,2,10.6,6.6,4.9,3.6,4.1,6,5.3,5.5,7.3,4.1,4.3,7,4.4,5,5.6,6.7,5.3,7.3,3.4,4.1,13.8,6.7,5,6,3.3,145.9
